question,answer
"Hvilket utrop er en kjent internspøk på datatreffet The Gathering, som er hver påske?",«Arne!»
"Hvor høyt ligger Fannaråkhytta, Norges høyest beliggende DNT-hytte?",2068 moh.
Hva er det Junn Paasche-Aasen (f. 1946) er en særlig anerkjent designer av?,Lærebøker
Hvem er det som etter tradisjonen gjemmer påskeegg som barn kan finne?,Påskeharen
Påsken er kristendommens viktigste høytid. Hvem markerer man at døde og sto opp?,Jesus
Hvilket av disse ordene betyr etterforsker?,Detektiv
"Opptoget Easter parade er vanlig i USA, særlig på Fifth Avenue i hvilken by?",New York
Den jødiske høytiden pesach er til minne om utfrielsen fra slaveriet i …,Egypt
Hvilken sjakkbrikke har form som en hest?,Springer
Hvilken av disse er navn på en Nidar-sjokolade med gule marsipanegg?,Kolibriegg
Hvilket land hører Påskeøya til?,Chile
I 2019 kom Thor Gotaas og Roar Vingelsgaard med en bok om norske …,Utedoer
Hvem er det jeg-personen er på tur med i sangen «Påsketur» av Øystein Sunde?,"Kåre, Ronald og Einar"
"Hvilken avis har Hyttemagasinet, som kommer ut 12 ganger i året?",Aftenposten
Hvilket tema er det Jørn Lier Horst lar være bakteppe i «CLUE»-bøkene?,Filosofi
I hvilket år kom påskeklassikeren og filmsuksessen «Fjols til fjells» (originalen)?,1957
Hvem (1898–1978) ble kjent for en kyllingsuppe der oppskriften lenge var hemmelig?,Golda Meir
Det såkalte påskeopprøret i Ap i 1958 protesterte mot atomvåpen hos hvilket land?,Vest-Tyskland
Hvor mange hytter og andre fritidsbygg var det registrert i Norge i 2022?,Ca. 450 000
Hva heter de to barna som løser mysterier i bøkene om Kråkeslottet barnehage?,Leon og Live
"Hva er neste ord i «Alle fugler små de er»: «Gjøk og sisik, trost og …»?",Stær
"Hva er en hvitveis, som er et vanlig vårtegn i Norge?",En plante
"I ludo, hvilken vei går brikkene rundt brettet?",Med klokken
Hvilket naboland av Norge grenser hyttekommunen Trysil til?,Sverige
Hvilket stedsnavn mangler i påskesalmetittelen «På _____ stod det et kors»?,Golgata
"Hvor i verden lever marabustorken, som vi kjenner fra Freias sjokolader?",Afrika sør for Sahara
Hvilket fransk ord for «lang tur» gir navn til en skitype mellom alpinski og fjellski?,Randonnée
"Hvem har laget den mest kjente «Pietà», som står i Peterskirken og er av marmor?",Michelangelo
I hvilken kunstretning regnes «Den gule Kristus» av Paul Gauguin som et hovedverk?,Symbolisme
"Hvor i Det gamle testamentet står påskeprofetien om «Se, din konge kommer»?",Sakarjas bok
Hvilken krimroman har Karin Fossum fått både Rivertonprisen og Glassnøkkelen for?,«Se deg ikke tilbake!»
Omtrent hvor mange kyllinger slaktes det årlig i Norge?,Ca. 60 millioner
Navnet Påskeøya viser til at Jacob Roggeveen kom dit 1. påskedag – i hvilket år?,1722
Finn ordet som brukes ofte om Kvikk Lunsj.,Tursjokolade
Hva er det som åpner slik: «1. Planlegg turen og meld fra hvor du går»?,Fjellvettreglene
Hvilket dyr får vi lammekjøtt fra?,Sau
I hvilken sport kalles mange konkurranser for vårklassikere?,Landeveissykling
"I hvilket land ligger Flandern, der sykkelrittet Flandern rundt avholdes hver vår?",Belgia
Hva er et vanlig kallenavn på Birkebeinerrennet?,Birken
"Hva er de neste ordene: «Påskemorgen slukker sorgen, slukker sorgen …»?",Til evig tid
Hva slags dyr fungerer ofte som nedoverstiger i engelske utgaver av Stigespill?,Slanger
Hva slags næringsstoff er det mest av i kyllingfilet?,Proteiner
Påskeklassikeren «Fjols til fjells» er av Norges første kvinnelige filmregissør. Hvem?,Edith Carlmar
"I hvilket år kom «A Study in Scarlet», den første boken om Sherlock Holmes?",1887
"Hvilken fjellvettregel forble uendret i 2016: «Vend i tide, det er ingen skam å snu»?",Nr. 8
Hvor stort er maleriet «Nattverden» av Leonardo da Vinci?,460 x 880 cm
Det tradisjonsrike turrennet Reistadløpet går fra Setermoen til …,Bardufoss
Finn ordet som fullfører setningen: Det er kjekt å gå på ski når det er godt …,Skiføre
Hestehoven er et vanlig vårtegn. Hvilken farge har blomstene?,Gul
I hvilket verdenshav ligger Påskeøya?,Stillehavet
Hva er seneste mulige dato for 1. påskedag i den vestlige (gregorianske) kalenderen?,25. april
Hvor mange stenger er en standard Kvikk Lunsj (47 gram) sammensatt av?,Fire
Hvor mange mennesker bor det på Påskeøya?,Rundt 8000
I «Superkrim» skal man finne den skyldige. Hvor mange alternativer har hver episode?,Tre
"Hva slags mennesker, som hadde lav status, fant Jesu tomme grav, ifølge Bibelen?",Kvinner
"Hvor ligger øya Curaçao, kjent for sitruslikøren curaçao?",Nord for Venezuela
"Hva er en kyllingmark, med navn etter tidligere statsråd Håkon Kyllingmark?",En småflyplass
Hvilken tsar bestilte i 1885 det første Fabergé-egget til den russiske keiserfamilien?,Aleksander 3.
Omtrent hvor mange krimromaner og -noveller skrev Georges Simenon om Maigret?,Ca. 100
"Hva slags forfattere er Thomas Kolåsæter, Trine Aalborg og Vegard Eikemo Sande?",Quizforfattere
Appelsiner vokser …,På trær
Åpningsordene i «Blåveispiken» av Arne Paasche Aasen er «Jeg går og rusler …» hvor?,På Ringerike
Hvor mange dager er det i måneden mars?,31
"Hvem kom i 2022 med «Blodmåne», den 13. krimboken om Harry Hole?",Jo Nesbø
Hvilken kjendis fra Ås (f. 1995) ble kjent da hun vant «Sommerhytta» på TV 2?,Øyunn Krogh
Hvilket av disse hyttestedene ligger i Ringsaker kommune?,Sjusjøen
Når levde Agatha Christie?,1890–1976
Litteraturprofessor Fredrik Paasche og botanikkprofessor Eystein Paasche var …,Far og sønn
"Hvilket stoff gir hvitfargen på Hen Egg, det første av de keiserlige Fabergé-eggene?",Emalje
"I yatzy, hvilken av disse terningkombinasjonene er en yatzy?",3–3–3–3–3
Hvilken farge har drikken kakao?,Brun
Hva er Fv. 50 Hol–Aurland et eksempel på?,En fjellovergang
Hvilken Øystein har «Påskenøtter» på NRK sammen med Rune Gokstad?,Øystein Bache
Hvilken dato er vårjevndøgn satt til i dagens definisjon av 1. påskedag?,21. mars
Hvilket guttenavn bruker Unni Bernhofts forkledde pikkolofigur i «Fjols til fjells»?,Rudolf
"Hvem, som fikk hytte på Gålå i 60-årsgave, sa siden at alle som vil, bør ha en hytte?",Einar Gerhardsen
Frøken Detektiv var liten da en i familien døde. Hvem?,Moren
Hvem er forfatter av boken «Villmarksquiz» sammen med Pål Espen Kilstad?,Lars Monsen
Hvor mange juvelegg oppgir Fabergé at de laget til den russiske keiserfamilien?,50
Hva heter fredagen da Jesus ble korsfestet?,Langfredag
Hva slags bønner er en hovedingrediens i sjokolade?,Kakaobønner
Hvor mange kristne var det anslagsvis i verden i 2022?,"Ca. 2,5 milliarder"
"Hva er koketiden for hardkokte egg, ifølge Prior?",10 minutter
Hva kalles to håndtak med spiss til å trekke seg opp med hvis man går gjennom isen?,Ispigger
Hvilket særtrekk har den lynskarpe Patricia i krimbøkene til Hans Olav Lahlum?,Hun er rullestolbruker
På hvilken dag innstiftet Jesus nattverden og vasket disiplenes føtter?,Skjærtorsdag
"I hvilken Telemark-kommune ligger Rauland, der mange har hytte?",Vinje
Hva slags verk er «Kjærligheten til de tre appelsiner» av Sergej Prokofjev?,En opera
Hvilken vanlig påskeprydplante gir navn til Japans keisertrone?,Krysantemum
For mange er denne sangen av Wallace Collection lyden av fjellvettreglene. Tittelen?,«Daydream»
Påsken er kristendommens viktigste høytid. Hvem av disse er kristne?,Katolikker
I Norge kommer alltid påsken i hvilken årstid?,Våren
Hvilken annen matvare er inni hver av sjokoladestripene i Kvikk Lunsj?,Kjeks
"Stasjonene i vanlig norsk Monopol er Oslo S, Skøyen stasjon, Grorud stasjon og …",Bryn stasjon
Hva heter påske på svensk?,Påsk
Omtrent hvor mange egg legger en verpehøne i gjennomsnitt per dag?,Ett
Hva er det 24 av i spillet backgammon?,Triangler på brettet
Til hvilken familie hører appelsintreet?,Rutefamilien
"Fullfør påskesalmetittelen med tekst av Johan Nordahl Brun: «Jesus lever, …»",Graven brast
"Hvilken av disse seriene med detektivbøker for barn debuterte først, allerede i 1904?",«Bobsey-barna»
Tyskeren Hermann Paasche laget Paasche-indeksen. Hva brukes denne til å beregne?,Inflasjon
Hvilken av disse kan være en overført betydning av ordet ‘kylling’?,Pingle
"På en skitur, hvor finner du vanligvis en trinse?",Nederst på skistaven
Hva heter den jødiske høytiden som er opphav til ordet påske?,Pesach
Hva heter filmen fra 2019 med Daniel Craig som detektiven Benoit Blanc?,«Knives out»
Simon fra Kyrene dukker opp i Jesu lidelseshistorie. Hva ble han tvunget til å gjøre?,Bære korset
"Hvilken turisthytte har kortest rute til Galdhøpiggen, men krever isbreguide?",Juvasshytta
Hvor i verden kommer arten påskelilje fra?,Vest-Europa
Hvilken av disse er ikke en vanlig farge på blomstene til påskelilje?,Blå
"‘Hytte’ kommer av ‘Hütte’, som betyr «lite, fattigslig (tre)hus» på hvilket språk?",Tysk
Hvilket ord på to bokstaver er (i seg selv) verdt hele 18 poeng i norsk Scrabble?,WC
Fjellvettregel nr. 6 ber oss kjenne igjen usikker is og hva for noe annet?,Skredfarlig terreng
Hva slags toalettfasiliteter står til disposisjon for de besøkende på Galdhøpiggen?,Ingen
Hvilken av disse aktørene var ikke med på å lage de nye fjellvettreglene (2016)?,Skiforeningen
"I hvilket år kom de første fjellvettreglene, som har blitt revidert i 1967 og 2016?",1952
Hvilket av disse adjektivene kan beskrive både egg og krimlitteratur?,Hardkokt
Hva er det vanligste formelle navnet på uken fra palmesøndag til påskeaften?,Den stille uke
Hvem er faren til en kylling?,En hane
Hvilken yrkestittel bruker Astrid Lindgrens figur Kalle Blomkvist?,Mesterdetektiv
Hva er hjemlandet til den fiktive detektiven Hercule Poirot?,Belgia
Hvilken dag i påsken er til minne om Jesu oppstandelse?,1. påskedag
Hvilken ukedag faller alltid 2. påskedag på?,Mandag
Hva heter perioden før påsketiden i kirkeåret?,Fastetiden
Hva er vanlig å ha i det kokende vannet hvis man vil gi eggene gult skall?,Løkskall
Hvilken salme slutter med ordene «Evig skal døden være Kristus underlagt»?,«Deg være ære»
Hvor var kirkemøtet i 325 som blant annet definerte når 1. påskedag er?,Nikea
Hvem i romanen «Appelsinpiken» er det appelsinpiken er ungdomsforelskelsen til?,Georgs far
På hvilken spesiell dato falt skjærtorsdag i 2021?,1. april
Det store flertallet av appelsiner i Norge er importert fra hvilket land?,Spania
Øystein Paasche (f. 1963) er kjent som trommeslager i hvilket band?,deLillos
Hvem er detektiven i bøker som «Blind gudinne» (1993) og «Det ellevte manus» (2021)?,Hanne Wilhelmsen
Hva heter polsen av Sven Nyhus kvartett som er fast med i «Påskelabyrinten» på NRK?,«Kari Pers Polska»
"Salmen «Han er oppstanden. Halleluja!» har tekst av Bernard Kyamanywa, som er fra …",Tanzania
Hvor mange oppgaver serveres i hver episode av «Påskenøtter» på NRK?,Seks
Hvor mye penger mister du i Den forsvunne diamanten hvis du treffer en røver?,Alle pengene
Hvilket land er med god margin verdens største appelsinprodusent?,Brasil
Hvor mange brikker har et vanlig dominosett (et sett til og med dobbel sekser)?,28
Hva heter de populære guttebøkene der brødrene Frank og Joe løser mysterier?,«Hardy-guttene»
"Hvor høy blir vanligvis en påskelilje, ifølge Store norske leksikon?",20–40 cm
Hva er fellesnavnet på de fem viktigste endagsrittene i landeveissykling for menn?,Monumentene
Hva kalles egg som er kokt i 6–8 minutter?,Smilende
Hvilken kjent komponist laget melodien som brukes i salmen «Deg være ære»?,G.F. Händel
I hva slags positur er marabustorken på selve sjokoladen til blant annet Kvikk Lunsj?,Stående på én fot
"Hva kalles en hemmelig beskjed, morsomhet eller lignende i f.eks. et videospill?",Påskeegg
Hvem har ofte senere påske enn andre kristne på grunn av den julianske kalenderen?,Ortodokse kristne
Hvilken yrkestittel har Leif Justers figur Poppe i «Fjols til fjells»?,Portier
Det gamle yrket hytteskriver er forbundet med hva slags arbeidssted?,Bergverk
Når laget Bertel Thorvaldsen den kjente Kristus-statuen i Vor Frue Kirke i København?,Ca. 1830
"Hvem i kretsen rundt Jesus har inspirert påskesalmen «Å, salige stund uten like»?",Maria Magdalena
Hva er det vanlig å fylle påskeegg av papp med?,Godteri
"Hvilken handling av Jesus på skjærtorsdag pleier paven å gjøre, f.eks. i fengsler?",Fotvask
Hva heter urbefolkningen på Påskeøya? Dette er også navnet de selv bruker om øya.,Rapa Nui
Hva kalles de enorme steinstatuene som Påskeøya er berømt for?,Moai
Hvilken bergenser skriver krimbøker om Ole Vik i Fjellberghavn?,Jørgen Jæger
"Hvor lenge holder tulipaner seg fine hvis du steller dem godt, ifølge blomsterforhandlere?",1–2 uker
Hvilken liturgisk farge har påsketiden i Den norske kirke?,Hvit
Hva heter romanen fra 1923 som ofte kalles starten på tradisjonen påskekrim?,«Bergenstoget plyndret i natt!»
Når på dagen (uavhengig av tidssone) slukker man lyset under Earth Hour?,Kl. 20.30
Hvordan lød den korteste (nr. 7) av de gamle fjellvettreglene (1967–2016)?,«Gå ikke alene»
"Hvem skrev «Du som låg i natti seine», en av de mest kjente nynorske påskesalmene?",Jakob Sande
Hvilken stor sitrusfrukt er sammen med mandarin trolig opphavet til arten appelsin?,Pomelo
Hvem avsluttet langrennskarrieren i 2022 med å vinne Skarverennet for 11. gang?,Therese Johaug
Eliteserien 2023 starter 2. påskedag. Hvor mange lag er med?,16
Fullfør den franske originaltittelen på spillet Risk: «La Conquête du …»,Monde
"Hvem skrev salmene «Påskemorgen slukker sorgen» og «Hill deg, Frelser og forsoner»?",N.F.S. Grundtvig
Hvilken kjent ekspedisjonsfarer var med på å lage de nye fjellvettreglene (2016)?,Cecilie Skog
"‘Narcissus pseudonarcissus’ (påskelilje) viser til figuren Narkissos, som er fra …",Gresk mytologi
"Hva heter det fiktive detektivbyrået i Valleby, med navn etter barna som driver det?",LasseMajas detektivbyrå
"Appelsinhonningskvetten, som lever i Australia, er en liten …",Fugl
"Hvem har skrevet bøkene bak krimseriene «Shetland» og «Vera», begge sendt på NRK?",Ann Cleeves
Egg er kjent for å inneholde alle næringsstoffer unntatt ett. Hvilket?,Vitamin C
Hvilket av disse ordene inngår i mange av boktitlene i «Detektivbyrå nr. 2»?,Operasjon
Hvilken sport er Christian Paasche (f. 1969) best kjent for å kommentere?,Landeveissykling
Hva slags skapning er Nifse Nella i bøkene til Unni Lindell og Fredrik Skavlan?,Spøkelse
"Hva er pinselilje, rent systematisk, i forhold til arten påskelilje?",En art i samme slekt
"I hvilket år kom brettspillet Pandemic, der man samarbeider for å utrydde sykdom?",2008
Hvor mange fjellvettregler er det?,Ni
Omtrent hvor lenge må hønseegg ruges før kyllingene klekkes?,Tre uker
"Hvor mange kilokalorier gir en appelsin på 150 gram, ifølge Matvaretabellen?",54 kcal
Hvor i øyet gjør det vondt (i all hovedsak) hvis du er rammet av snøblindhet?,Hornhinnen
Hva er det engelske ordet for påske?,Easter
"Hvor mange andre ble korsfestet ved siden av Jesus, ifølge Bibelen?",To
Hvordan fortsetter påskesalmen: «Den stunda i Getsemane …»?,Eg aldri gløyma kan
Hvem skildrer ord som «påskefjellet» og «solveggen» i boken «Den norske folkesjela»?,Per Egil Hegge
På nynorsk brukes både ‘kylling’ og hvilket lignende ord?,Kjukling
Hvem (1906–2006) var primus motor for den nyeste svenske salmeboken (1986)?,Anders Frostenson
"Fullfør sitatet til Jesus på korset, gjengitt i Johannes 19,30 (på bokmål): «Det er …»",Fullbrakt
Påskeopprøret i Irland i 1916 var et opprør mot hva?,Britisk styre
Hvilket dyr er mesterdetektiven Basil i bøkene og Disney-filmen?,Mus
Hvilken av disse tradisjonene beskrives som særnorsk hos Store norske leksikon?,Påskekrim
"Hva lages av mandler, melis og eggehvite og kan farges med gul konditorfarge?",Marsipan
"Ifølge Bent Stiansen skal man krydre påskelammet med salt, pepper, timian og …",Rosmarin
Om vi setter 1. påskedag som dag nummer 1 er Kristi himmelfartsdag dag nummer …,40
"Hvem skrev teksten til sangen «Kyllingen», om «en hønemor med åtte gule små»?",Alf Prøysen
Hvilken nordlending har vært programleder i «Påskelabyrinten» siden starten i 1987?,Viggo Valle
Festesmøring kan grovdeles inn i hvilke to hovedgrupper?,Voks og klister
"Hva var fornavnene til Fabergé, gullsmeden med de kjente juveleggene?",Peter Carl
Hvilket ord gjentas til slutt i hver strofe i «Dine hender er fulle av blomster»?,Halleluja
"Hva er Getsemane, der Bibelen forteller at Jesus var da han ble arrestert?",En hage
I 325 satte man 1. påskedag til første søndag etter første fullmåne etter …,Vårjevndøgn
"Fullfør fjellvettregel nr. 4: «Vær forberedt på uvær og kulde, selv på …»",Korte turer
På palmesøndag red Jesus inn i Jerusalem på hva slags dyr?,Esel
Hvem av disse har spilt detektiven Kurt Wallander en rekke ganger?,Rolf Lassgård
Hvilket symbol har kategorien ‘Historie’ i quizspillet Bezzerwizzer Original?,Et timeglass
"Hva er «Golden Harvest», «Ice King» og «Texas» eksempler på?",Påskeliljesorter
Hva er første ord i andre strofe av «Påskemorgen slukker sorgen»?,Redningsmannen
Hvem pynter med bl.a. påskelilje når de minnes nasjonalhelgenen sankt David 1. mars?,Waliserne
Hvilket av disse produktene kan være av merker som Avivir og Änglamark?,Solkrem
Hvilket næringsstoff er appelsin særlig viktig for i norsk kosthold?,Vitamin C
Hva heter det underjordiske overvintringsorganet som bl.a. påskeliljer har?,Løk
Hvilket av disse begrepene passer for påskelilje?,Giftplante
Omtrent hvor lav temperatur (i celsius) tåler påskeliljer?,5 minusgrader
Hvor lang er fastetiden i kirkeåret? Søndagene teller ikke med.,40 dager
I hvilken by kan du turskøyte på Theisendammen og andre vann i Bymarka?,Trondheim
Hva er det tittelfiguren i filmen «Lille kylling» tror kommer til å falle ned?,Himmelen
